NAME,BUY_PRICE,BUY_PRICE_INCLUDE_TAX,INITIAL_STOCK,REMAINING_QUANTITY,SERIAL_NO,EXPIRY_DATE
CARBAZINA 200MG,Ksh1.75,Yes,1525,,,
CARBIMAZOLE CARAL-5,Ksh2.30,Yes,1526,,,
CARBOPRO 100mls,Ksh2.50,Yes,1527,,,
CARBOSTEN promethazine 100mls,Ksh60.00,Yes,1528,,,
CARCA 25MG,Ksh107.00,Yes,1529,,,
CARCA 3.125MG,Ksh42.00,Yes,153,,,
CARCA 6.25mg,Ksh18.00,Yes,1531,,,
CARDACE 10MG,Ksh20.00,Yes,1533,,,
CARDACE 5MG,Ksh3.20,Yes,1534,,,
CARDINOL 100,Ksh2.60,Yes,1535,,,
CARDINOL 25MG,Ksh5.11,Yes,1536,,,
CARDINOL 50mg,Ksh3.50,Yes,1538,,,
CARDIOSPRIN 75MG,Ksh5.00,Yes,154,,,
CARDISPRIN 75MG,Ksh2.20,Yes,1540,,,
CARDITAN 50MG,Ksh2.20,Yes,1541,,,
CARDITAN AM,Ksh5.00,Yes,1542,,,
CARDITAN H 50/12.5,Ksh12.00,Yes,1543,,,
CARDOZ 25 MG,Ksh6.00,Yes,1547,,,
CARITON PIRITON 60MLS,Ksh10.00,Yes,1548,,,
CARNATION CAPS,Ksh18.00,Yes,1549,,,
CARTICARE FORTE GLUCOSAMINE/CHONDRO,Ksh45.00,Yes,155,,,
CARTIL FORTE CAPS,Ksh50.00,Yes,1550,,,
CARTIL OMEGA CAPS,Ksh40.00,Yes,1551,,,
CARTILIFE,Ksh50.00,Yes,1552,,,
CARTIMOVE D tabs,Ksh15.00,Yes,1554,,,
CARTIMOVE plus softgel,Ksh76.00,Yes,1555,,,
CARTIMOVE TABS,Ksh80.00,Yes,1556,,,
CARVEDILOL CARCA-6.25,Ksh45.00,Yes,1557,,,
CARVEDILOL CARVAS 12.5,Ksh1.00,Yes,1558,,,
CARVEDIOL 6.25[INTAS],Ksh17.00,Yes,1559,,,
CARYL 100MLS,Ksh10.00,Yes,156,,,
CASTOCAP capsules,Ksh70.00,Yes,1560,,,
CASTOR OIL 100MLS,Ksh10.00,Yes,1561,,,
CASTOR OIL 50mls,Ksh60.00,Yes,1562,,,
CATAFLAM 50mg*,Ksh40.00,Yes,1563,,,
CATHETER 16/18,Ksh20.00,Yes,1564,,,
CATIS FORTE,Ksh50.00,Yes,1567,,,
CATOXYMAG-N 200MLS ,Ksh36.00,Yes,1569,,,
CAUSTIC PENCIL 40% RED,Ksh170.00,Yes,157,,,
CAUSTIC PENCIL BLUE95%,Ksh145.00,Yes,1570,,,
CAVIC-C PLUS TABLETS,Ksh166.00,Yes,1571,,,
CAVINTON VINPOCETINE 5MG,Ksh37.00,Yes,1572,,,
CDROX 100mls,Ksh20.00,Yes,1573,,,
CDROX 500mg,Ksh130.00,Yes,1574,,,
CECLONEC P,Ksh14.00,Yes,1575,,,
CEEGRAM [VITAMIN C] EFFERVESCENT 10'S,Ksh10.00,Yes,1578,,,
CEEPRO 500MG,Ksh21.00,Yes,1579,,,
CEFACURE 250 MG,Ksh5.00,Yes,158,,,
CEFACURE 500 MG [CEFALEXIN],Ksh6.00,Yes,1582,,,
CEFADROXIL 125mg 100mls,Ksh6.00,Yes,1583,,,
CEFADROXIL CEXIL 250mg/5mls,Ksh100.00,Yes,1584,,,
CEFEXIME FIMABUTE100MG,Ksh200.00,Yes,1585,,,
CEFIXIME 400mg 5's,Ksh24.00,Yes,1587,,,
CEFIXIME 7's CEF 3 DS,Ksh80.00,Yes,1588,,,
CEFIXIME EVOFIX 60mls,Ksh180.00,Yes,1589,,,
CEFIXIME TRIAXON 60MLS,Ksh160.00,Yes,159,,,
CEFOTIL 70mls Cefuroxime,Ksh150.00,Yes,1590,,,
CEFOTIL 750mg IM/IV inj,Ksh200.00,Yes,1591,,,
CEFPODOX  200mg,Ksh200.00,Yes,1592,,,
CEFPODOX 100MG/5MLS,Ksh20.00,Yes,1593,,,
CEFPODOX cefaz 50mg/5mls 60mls,Ksh570.00,Yes,1595,,,
CEFTAFAIR-SB 1.5 CEF+Sulbactum,Ksh330.00,Yes,1597,,,
CEFTRIAXONE 1Gram,Ksh220.00,Yes,1598,,,
CEFTRON IV 2grams,Ksh40.00,Yes,1599,,,
CEFUROXIME 125mg 50mls,Ksh200.00,Yes,160,,,
CEFUROXIME 250mg 10's,Ksh160.00,Yes,1601,,,
CEFUROXIME 500mg 10's,Ksh165.00,Yes,1604,,,
CEFUROXIME 750mg IV,Ksh240.00,Yes,1605,,,
CEFUROXIME DS 250mg/5mls,Ksh300.00,Yes,1607,,,
CELCOX 100mg,Ksh150.00,Yes,1608,,,
CELCOXX 200MG,Ksh10.00,Yes,1609,,,
CELECOXIB200,Ksh32.00,Yes,161,,,
CELESTAMINE tabs,Ksh10.00,Yes,1610,,,
CEMET 400MG,Ksh13.00,Yes,1611,,,
CEOVIT 250mg chewable tabs,Ksh3.00,Yes,1612,,,
CEOVIT forte 1000mg,Ksh5.00,Yes,1613,,,
CEOVIT Forte 1000mg,Ksh30.00,Yes,1614,,,
CEPHALEXIN 125/5ml 100mls,Ksh20.00,Yes,1615,,,
CEPHALEXIN 250mg,Ksh70.00,Yes,1616,,,
CEPHALEXIN 500mg,Ksh4.00,Yes,1617,,,
CEPROLEN D 5MLS EYE,Ksh5.00,Yes,1618,,,
CEPROLEN EYE 5 mls,Ksh241.00,Yes,1620,,,
CEREGARD 90,Ksh165.00,Yes,1622,,,
CEROX A 500mg Cefuroxime,Ksh50.00,Yes,1623,,,
CETAMOL 100MLS,Ksh28.00,Yes,1624,,,
CETAMOL 60MLS,Ksh55.00,Yes,1625,,,
CETRIMIDE 500MLS SAVLON,Ksh40.00,Yes,1627,,,
CETRINAC 5mg levocetrizine,Ksh90.00,Yes,1628,,,
CETRIPLAIN 60mls,Ksh3.00,Yes,1630,,,
CETRIplain 60mls,Ksh17.00,Yes,1631,,,
CETRIplus 60MLS,Ksh15.00,Yes,1632,,,
CETRIZET D,Ksh22.00,Yes,1634,,,
CETRIZINE 10MG,Ksh30.00,Yes,1638,,,
CETRIZINE 60mls,Ksh1.00,Yes,1639,,,
CHARCOAL TABS,Ksh25.00,Yes,164,,,
CHESTCOF 100mls,Ksh4.00,Yes,1641,,,
CHLOPROMAZINE 100mg,Ksh55.00,Yes,1642,,,
CHLOPROMAZINE 25MG COSMOS,Ksh6.00,Yes,1643,,,
CHLOPROMAZINE INJ 50MG/2ML,Ksh1.00,Yes,1644,,,
CHLORAMPHENICOL 1.0% MARTINDALE,Ksh13.00,Yes,1645,,,
CHLORAMPHENICOL DAWAPHENICOL 125MG/5ML ,Ksh30.00,Yes,1646,,,
CHLORAMPHENICOL EYE DROPS 10MLS,Ksh60.00,Yes,1647,,,
CHLORAPHENICOL EYE 1% MARTIDALE,Ksh100.00,Yes,1648,,,
CHRORAMPHENICAL/DEXA-EYE AUROCOL-DM 10ML,Ksh30.00,Yes,1649,,,
CIALIS 20 MG[TADALAFIL],Ksh160.00,Yes,165,,,
CIFIN CIPRO 500/250MG,Ksh803.00,Yes,1650,,,
CIMETIDINE MEDICIT 400MG,Ksh1.00,Yes,1651,,,
CINCLAV 375*,Ksh2.00,Yes,1652,,,
CINEPAR kid 100mls,Ksh7.00,Yes,1653,,,
CIPLADON 1Gram,Ksh240.00,Yes,1654,,,
CIPLADON 500MG,Ksh36.00,Yes,1655,,,
CIPRO T tablets 10's,Ksh18.00,Yes,1656,,,
CIPROCENT eye oint,Ksh130.00,Yes,1658,,,
CIPROFLOXACIN 500MG,Ksh270.00,Yes,1659,,,
CIPROFLOXACIN intas 500mg,Ksh2.00,Yes,166,,,
CIPROGLAX D eye 5mls,Ksh15.00,Yes,1660,,,
CIPROKEN 5MLS EYE DROPS,Ksh115.00,Yes,1662,,,
CIPRONAT 14'S,Ksh90.00,Yes,1663,,,
CITAL SOLUTION 100mls,Ksh100.00,Yes,1666,,,
CL,Ksh233.00,Yes,1667,,,
CLARICOS 125 SUSP 70MLS,Ksh500.00,Yes,1668,,,
CLARICOS 500MG,Ksh420.00,Yes,1669,,,
CLARIE DS 125MG/5MLS,Ksh15.00,Yes,1670,,,
CLARIE OD CLARITHROMYCIN 500,Ksh405.00,Yes,1671,,,
CLARINASE tabs,Ksh20.00,Yes,1673,,,
CLARITEK 500MG,Ksh51.00,Yes,1674,,,
CLARITEX SUSP 50ML,Ksh15.00,Yes,1675,,,
CLARITHROMYCIN 500mg 10'S,Ksh460.00,Yes,1676,,,
CLARITINE TABS,Ksh180.00,Yes,1677,,,
CLARITYNE 100mls,Ksh50.00,Yes,1678,,,
CLARIWIN-500,Ksh510.00,Yes,1679,,,
CLARIX 500MG,Ksh22.00,Yes,168,,,
CLARIZED 500MG,Ksh15.00,Yes,1681,,,
CLAV 457mg 70ML amoxyclav,Ksh20.00,Yes,1682,,,
CLAVAM 156MG 70MLS,Ksh170.00,Yes,1683,,,
CLAVAM 228MG,Ksh170.00,Yes,1684,,,
CLAVULIN 228mg/5mls,Ksh220.00,Yes,1686,,,
CLAVULIN 457.5mg 70mls,Ksh360.00,Yes,1689,,,
CLAVULIN 625mg tabs,Ksh500.00,Yes,169,,,
CLAVULIN GSK 156.5MG,Ksh25.00,Yes,1690,,,
CLAVULIN*1G GSK,Ksh100.00,Yes,1693,,,
CLEAR T GEL 20Grams,Ksh50.00,Yes,1695,,,
CLEX CAPS CEPHALEXIN,Ksh415.00,Yes,1696,,,
CLEXANE 40IU,Ksh6.00,Yes,1697,,,
CLINDAMYCIN 150mg caps,Ksh500.00,Yes,1698,,,
CLINDAMYCIN 300mg caps,Ksh10.00,Yes,1699,,,
CLINDAMYCIN DALACIN C 300MG ,Ksh15.00,Yes,1700,,,
CLINDAR T GEL,Ksh100.00,Yes,1701,,,
CLINDAR T PLUS GEL,Ksh377.00,Yes,1703,,,
CLINELLE V PESSARIES,Ksh432.00,Yes,1704,,,
CLINZOLE CREAM 20G,Ksh360.00,Yes,1705,,,
CLOB B 15grams,Ksh75.00,Yes,1706,,,
CLOB BG CREAM 15G,Ksh70.00,Yes,1707,,,
CLOB cream 15 grams,Ksh80.00,Yes,1710,,,
CLOBEDERM Cream 10g,Ksh40.00,Yes,1711,,,
CLOBEDERM LOTION 20mls,Ksh100.00,Yes,1712,,,
CLOBEDERM oint 15G,Ksh89.00,Yes,1713,,,
CLOFENAC SR 100mg,Ksh100.00,Yes,1715,,,
CLOMID 50MG,Ksh1.00,Yes,1717,,,
CLOMIPHENE CITRATE CIPHENE 50MG ,Ksh64.00,Yes,1718,,,
CLOMIPHENE CITRATE CLOMITAB 50MG ,Ksh60.00,Yes,172,,,
CLOPIDOGREL CLOPRESS 75MG ,Ksh60.00,Yes,1720,,,
CLOSTIN CREAM,Ksh34.00,Yes,1721,,,
CLOTRIMALOZE 20Grams,Ksh10.00,Yes,1722,,,
CLOTRIMAZOLE EAR DROPS CANDID 15MLS,Ksh20.00,Yes,1724,,,
CLOTRIMAZOLE MOUTH PAINT CANDID 15MLS,Ksh130.00,Yes,1725,,,
CLOTRIMAZOLE PESS 100mg 6's,Ksh50.00,Yes,1726,,,
CLOTRIMAZOLE PESS 200mg 3'S,Ksh40.00,Yes,1727,,,
CLOTRINE B cream,Ksh55.00,Yes,1728,,,
CLOZOLE B 15grams,Ksh50.00,Yes,1729,,,
COARTEM 1'S,Ksh75.00,Yes,173,,,
CO-ARTESIANE,Ksh3.75,Yes,1731,,,
COCKRACHES KILLER SHENKE,Ksh120.00,Yes,1732,,,
CO-CODAMOL TABS,Ksh35.00,Yes,1733,,,
CODIMEX CT 10MG,Ksh3.00,Yes,1734,,,
CODIMEX CT SYRUP 60mls,Ksh3.50,Yes,1735,,,
CODSEAS 100mls,Ksh40.00,Yes,1736,,,
COFNIL-N 100MLS,Ksh250.00,Yes,1738,,,
COFTA EXTRA 100mls,Ksh165.00,Yes,1739,,,
COGNICURE 90mg,Ksh105.00,Yes,174,,,
COLDAMOL Caps,Ksh108.00,Yes,1740,,,
COLDAMOL P 100mls,Ksh4.00,Yes,1742,,,
COLDCAP ORIGINAL,Ksh60.00,Yes,1745,,,
COLDCAP SYRUP 100MLS,Ksh6.00,Yes,1747,,,
COLDCAP TIN LOOSE,Ksh70.00,Yes,1748,,,
COLDCAPS NIGHT,Ksh1.50,Yes,175,,,
COLICALM 30mls,Ksh7.00,Yes,1750,,,
COLICON 50mls,Ksh100.00,Yes,1751,,,
COLIFREE PCM/Diclomine,Ksh100.00,Yes,1752,,,
COLIZA DROPS,Ksh7.00,Yes,1755,,,
COLLACARE FORTE tabs,Ksh130.00,Yes,1756,,,
COLOICON 50mls,Ksh48.00,Yes,1757,,,
CO-MAX SUSP AL,Ksh100.00,Yes,1758,,,
COMBIGAN 5mls  eye drops,Ksh30.00,Yes,1759,,,
COMBISAF KIT 4's,"Ksh1,500.00",Yes,1760,,,
COMBIVENT 0.5mg/2.5mls,Ksh428.00,Yes,1762,,,
COMBIZOL TABS,Ksh115.00,Yes,1764,,,
CONCEVIT MVIT 100MLS,Ksh38.00,Yes,1766,,,
CONCOR 5mg,Ksh30.00,Yes,1767,,,
CONDOMS DELUXE studded,Ksh22.00,Yes,1768,,,
CONDOMS DUREX Flite/perf/select,Ksh35.00,Yes,1769,,,
CONDOMS KISS CHOC/strab/studded,Ksh270.00,Yes,177,,,
CONDOMS KISS Classic,Ksh35.00,Yes,1770,,,
CONDOMS LEO,Ksh20.00,Yes,1771,,,
CONDOMS LIFEGUARD studded,Ksh32.00,Yes,1773,,,
CONDOMS ROUGH RIDER,Ksh40.00,Yes,1774,,,
CONDOMS SALAMA HALISI,Ksh225.00,Yes,1775,,,
CONDOMS SALAMA STUDS,Ksh12.00,Yes,1776,,,
CONDOMS TRUST Classic,Ksh12.00,Yes,1777,,,
CONDOMS TRUST RIBBED,Ksh22.00,Yes,1778,,,
CONDOMS TRUST STUDDED,Ksh37.00,Yes,1779,,,
CONSAPROM SYR 60MLS,Ksh36.00,Yes,178,,,
CONSED EXP 60MLS,Ksh22.00,Yes,1782,,,
CONTIFLO OD,Ksh10.00,Yes,1785,,,
CONTIFLO XL 0.4Mg,Ksh65.00,Yes,1786,,,
CONTRIZET 60MLS,Ksh30.00,Yes,1787,,,
CONTRIZET-D SYR 60MLS,Ksh17.00,Yes,1788,,,
CONTUS FLU 650,Ksh85.00,Yes,1789,,,
COPHYDREX 100mls,Ksh9.00,Yes,1790,,,
COPHYDREX 60mls,Ksh35.00,Yes,1791,,,
CORCLAV 625MG,Ksh27.00,Yes,1792,,,
CORDCARE 7.1%W/V,Ksh10.00,Yes,1793,,,
CORFLEX FORTE,Ksh120.00,Yes,1794,,,
CORN caps,Ksh35.00,Yes,1795,,,
COSCOF C 100MLS,Ksh25.00,Yes,1796,,,
COSCOF C LINCTUS 100mls,Ksh115.00,Yes,1797,,,
COSCOF C LINCTUS 60MLS,Ksh167.00,Yes,1799,,,
COSCOF -CD 100ML,Ksh91.00,Yes,18,,,
COSCOF EXPT 60ML,Ksh10.00,Yes,1800,,,
COSCOFC 60MLS,Ksh60.00,Yes,1801,,,
COSVATE CREAM 15gm,Ksh100.00,Yes,1803,,,
COSVATE GM CREAM 15GM,Ksh145.00,Yes,1804,,,
COTIPRED 20mg,Ksh170.00,Yes,1805,,,
COTTON WOOL 100gm,Ksh30.00,Yes,1806,,,
COTTON WOOL 200MG,Ksh62.00,Yes,1808,,,
COTTON WOOL 400mg,Ksh100.00,Yes,1809,,,
COTTON WOOL 50grams,Ksh300.00,Yes,1810,,,
COUGH Mixture 100mls,Ksh40.00,Yes,1811,,,
COX B 200MG,Ksh230.00,Yes,1812,,,
COX B-100MG,Ksh36.00,Yes,1814,,,
COXIRAV120MG ETORICOXIB,Ksh16.00,Yes,1817,,,
COZEPAM 5MG [DIAZEPAM],Ksh10.00,Yes,1818,,,
CRAFE AWAY CIGARETTES,Ksh2.00,Yes,1820,,,
CREPE BANDAGE 2 INCHES,Ksh250.00,Yes,1821,,,
CREPE BANDAGE 4',Ksh10.00,Yes,1822,,,
CREPE BANDAGE 6',Ksh25.00,Yes,1824,,,
CROMOLYN SODIUM OPTH 2% AUROCROME 10ML,Ksh20.00,Yes,1825,,,
C-TAX 200MG TABS,Ksh160.00,Yes,1826,,,
CTAX P 100MLS,Ksh45.00,Yes,1827,,,
C-TAX*200MG,Ksh670.00,Yes,1828,,,
CURAMOL 100mls,Ksh20.00,Yes,1829,,,
CURAMOL 60mls,Ksh50.00,Yes,1830,,,
CYCLOPAM SUSP 30ML,Ksh27.00,Yes,1832,,,
CYCLOPAM-P TABS,Ksh150.00,Yes,1834,,,
CYCLOVIR 400MG [CYCLOVIR],Ksh10.00,Yes,1836,,,
CYPON 100MLS,Ksh9.00,Yes,1837,,,
CYPON 200mls,Ksh147.00,Yes,1838,,,
CYPRIN 100ML,Ksh250.00,Yes,1840,,,
CYPRIN 200MLS ,Ksh100.00,Yes,1841,,,
CYPRO B PLUS 200mls,Ksh180.00,Yes,1842,,,
CYPRO B PLUS TABS,Ksh240.00,Yes,1843,,,
CYPROL 100MLS,Ksh12.00,Yes,1844,,,
DABORAL 125/5ML 60mls,Ksh207.00,Yes,1845,,,
DABORAL 250mg 10's,Ksh230.00,Yes,1848,,,
DACOF DRY 100mls,Ksh315.00,Yes,1849,,,
DACOF EXP 100mls,Ksh113.00,Yes,1850,,,
DACOF MUCOLYTIC 100mls,Ksh100.00,Yes,1851,,,
DACOF PEADS 100MLS,Ksh105.00,Yes,1852,,,
DACOLD BLISTER,Ksh100.00,Yes,1853,,,
DACOLD CAPS,Ksh4.00,Yes,1855,,,
DACOLD CAPS LOOSE,Ksh4.00,Yes,1856,,,
DACOLD CAPS LOOSE,Ksh1.30,Yes,1857,,,
DACOLD SYRUP 100mls,Ksh1.50,Yes,1859,,,
DAFLON 500MG,Ksh42.00,Yes,1860,,,
DAKTARIN CREAM 30G,Ksh20.00,Yes,1862,,,
DAKTARIN oral gel 40gm,Ksh284.00,Yes,1863,,,
DALACIN 300,Ksh720.00,Yes,1864,,,
"dalacin c 300mg ,",Ksh93.00,Yes,1865,,,
DALACIN* C 150MG,Ksh79.06,Yes,1867,,,
DANALAC 0-6 MONTHS,Ksh50.00,Yes,1868,,,
DAPROFEN 60MLS,Ksh300.00,Yes,1869,,,
DAPSONE 100MG ,Ksh20.00,Yes,1870,,,
DAVIR CREAM[ACICLOVIR]10GM,Ksh13.00,Yes,1872,,,
DAWA PROM 25MG,Ksh85.00,Yes,1873,,,
DAWACLOX 100mls,Ksh0.55,Yes,1874,,,
DAWA-CORT 15G CREAM,Ksh50.00,Yes,1875,,,
DAWACORT CREAM 15GMS,Ksh35.00,Yes,1876,,,
DAWACORT OINT 15g,Ksh35.00,Yes,1877,,,
DAWADINE M/WASH  100MLS,Ksh34.00,Yes,188,,,
DAWAFLOX 125MG/5ML 100ML,Ksh120.00,Yes,1880,,,
DAWAFLOX 250MG CAPS,Ksh75.00,Yes,1881,,,
DAWAFLOX 250MG* [FLUCLOX],Ksh4.00,Yes,1882,,,
DAWAHIST 100MLS,Ksh3.00,Yes,1883,,,
DAWAHIST 60MLS,Ksh43.00,Yes,1884,,,
DAWALOR LOSARTAN H,Ksh33.00,Yes,1885,,,
DAWANOL pair,Ksh2.00,Yes,1886,,,
DAWAPROM 60MLS,Ksh6.40,Yes,1887,,,
DAWASOLONE 5MG-DAWA,Ksh20.00,Yes,1888,,,
DAWASTIN 12MLS,Ksh0.70,Yes,1889,,,
DAWASTIN 60MLS,Ksh30.00,Yes,189,,,
DAWAVITE 100MLS,Ksh40.00,Yes,1890,,,
DAWAVITE 60ML,Ksh35.00,Yes,1891,,,
DAZEL KIT,Ksh20.00,Yes,1892,,,
DAZEL KIT*,Ksh200.00,Yes,1893,,,
DAZEPAM COZEPAM 5MG,Ksh200.00,Yes,1894,,,
DAZIT DESLORATIDINE 5MG,Ksh1.00,Yes,1898,,,
DAZOLIC 500mg 10's,Ksh30.00,Yes,19,,,
DEBRIDACE OINT 15G,Ksh200.00,Yes,190,,,
DEBT PAYED,Ksh400.00,Yes,1900,,,
DEEP FREEZE COLD GEL 35gm,Ksh300.00,Yes,1901,,,
DEEP FREEZE SPRAY 150mls,Ksh280.00,Yes,1904,,,
DEEP HEAT RUB 15GMS,Ksh515.00,Yes,1905,,,
DEEP HEAT RUB 35GM,Ksh205.00,Yes,1909,,,
DEEP HEAT SPRAY 150mls,Ksh220.00,Yes,191,,,
DEFLAZ 6,Ksh515.00,Yes,1910,,,
DELASED CHESTY 100MLS,Ksh16.00,Yes,1911,,,
DELASED DRY 100MLS,Ksh96.00,Yes,1912,,,
DELASED PEADS 100MLS,Ksh103.00,Yes,1913,,,
DENTINOX TEETHING GEL 10grams,Ksh103.00,Yes,1915,,,
DENTOGEL GEL 10G,Ksh450.00,Yes,1916,,,
DEPO MEDROL 40MG 2MLS,Ksh150.00,Yes,1917,,,
DEPO MEDROL 80MG,Ksh605.00,Yes,1918,,,
DEPREX 10MG,Ksh650.00,Yes,1919,,,
DEPREX 5MG,Ksh13.00,Yes,192,,,
DEPROZET 20mg,Ksh12.00,Yes,1920,,,
DERIPHYLIN 300MG,Ksh12.00,Yes,1921,,,
DERIPHYLLIN 150MG,Ksh3.16,Yes,1923,,,
DERIPHYLLIN Retard 150mg,Ksh2.00,Yes,1924,,,
DERIPHYLLIN SYRUP 100MLs,Ksh13.00,Yes,1925,,,
DERMAFIN 15grams,Ksh270.00,Yes,1926,,,
DERMAL EMOLLIENT CREAM 250,Ksh160.00,Yes,1927,,,
DERMASOL 0.5% Oint 20GM,Ksh685.00,Yes,1928,,,
DERMAZINE CREAM 250G,Ksh240.00,Yes,1929,,,
DERMAZINE PLUS 15G CREAM,Ksh300.00,Yes,193,,,
DERMAZINE TIN 100GMS DAWA,Ksh30.00,Yes,1931,,,
DERMIGUARD MIXI 20Grams,Ksh160.00,Yes,1932,,,
DERMOL emmolient 50g,Ksh120.00,Yes,1933,,,
DERMOL EMOL 250mls,Ksh200.00,Yes,1934,,,
DERMOL EMOLIENT 500mls,Ksh650.00,Yes,1936,,,
DERMOL EMOLIENT CREAM 50G,"Ksh1,040.00",Yes,1938,,,
DERMOL emollient 50g,Ksh173.00,Yes,1939,,,
DERMOVATE CREAM 25G,Ksh160.00,Yes,194,,,
DERMOVATE OINT GSK 26G,Ksh551.00,Yes,1940,,,
DESAFE 5MG,Ksh550.00,Yes,1941,,,
DESAFE SYRUP 100MLS,Ksh25.00,Yes,1943,,,
DESAFE TABS,Ksh305.00,Yes,1944,,,
DESLONE 50mls,Ksh5.00,Yes,1945,,,
DESLORIN 5MG,Ksh252.00,Yes,1946,,,
DESODIN 5MG[DESLORATADINE],Ksh5.00,Yes,1947,,,
DESOSTAR 60mls,Ksh7.00,Yes,1949,,,
DESOSTAR-5,Ksh210.00,Yes,195,,,
DESTELUK-10,Ksh8.00,Yes,1950,,,
DETTOL 50mls,Ksh55.00,Yes,1951,,,
DEXAMED EYE DROPS,Ksh100.00,Yes,1952,,,
DEXAMETHASOME 0.5mg,Ksh10.00,Yes,1953,,,
DEXAMETHASONE 0.5MG LOOSE,Ksh2.70,Yes,1955,,,
DEXAMETHASONE 4mg,Ksh0.55,Yes,1956,,,
DEXAMETHASONE eye 5 mls,Ksh4.00,Yes,1958,,,
DEXAMETHASONE Inj 4MG/1ml,Ksh65.00,Yes,196,,,
DEXNEO EYE-EAR DROPS,Ksh13.00,Yes,1962,,,
DEXOMET N eye drops,Ksh55.00,Yes,1963,,,
DEXONEx C eye drops 5mls,Ksh50.00,Yes,1965,,,
DEXPURE 10mg,Ksh100.00,Yes,1966,,,
DEXPURE*,Ksh32.00,Yes,1967,,,
DEXTRACIN 5ML EYE/EAR,Ksh5.00,Yes,1968,,,
DEXTROSE 5%,Ksh160.00,Yes,1969,,,
DEXTROSE 50%,Ksh35.00,Yes,197,,,
DEXTROSENORMALSALINE 500Mls,Ksh75.00,Yes,1970,,,
DIADIS TABS,Ksh55.00,Yes,1971,,,
DIAGONEKIT ORS,Ksh2.00,Yes,1972,,,
DIAMICRON MR 30MG,Ksh30.00,Yes,1973,,,
DIAMICRON MR 60MG,Ksh22.00,Yes,1974,,,
DIAMISOL TABS,Ksh30.00,Yes,1975,,,
DIAPRIDE 2mg,Ksh2.83,Yes,1976,,,
DIAPRIDE 4MG,Ksh12.00,Yes,1977,,,
DIASTOP 1's,Ksh22.00,Yes,1978,,,
DIAZEPAM 5mg COZEPAM,Ksh1.00,Yes,1979,,,
DIAZEPAM INJ,Ksh1.40,Yes,198,,,
DIBONIS 250MG,Ksh60.00,Yes,1980,,,
DICLOFENAC 50MG,Ksh2.80,Yes,1983,,,
DICLOFENAC GEL 20GRAMS,Ksh1.00,Yes,1984,,,
DICLOFENAC INJ 75MG,Ksh25.00,Yes,1985,,,
DICLOGENTA EYE 5mls,Ksh7.00,Yes,1986,,,
DICLOMOL PLUS,Ksh185.00,Yes,1987,,,
DICLOMOL SR,Ksh12.00,Yes,1988,,,
DICONAZOLE 200mg,Ksh4.00,Yes,1989,,,
DIGESTISSIMOH CAPS,Ksh10.00,Yes,199,,,
DIGEVA F 170mls,Ksh70.00,Yes,1991,,,
DIGEVA F SATCHETS,Ksh210.00,Yes,1992,,,
DIGITAL BP MACHINE Omron M2,Ksh22.00,Yes,1993,,,
DIGITAL THERMOMETER,"Ksh3,500.00",Yes,1997,,,
DIGOMET  250mcg,Ksh120.00,Yes,1999,,,
DIGOXIN DIGOMET 125,Ksh2.00,Yes,2,,,
DIHYDROCODEIN 30MG ,Ksh2.00,Yes,20,,,
DIMWORM ABZ 10MLS,Ksh14.00,Yes,200,,,
DINAC 100mg,Ksh16.00,Yes,2000,,,
DIOCLAV 625MG,Ksh1.00,Yes,2001,,,
DIPENSING ENVELOPES 100'S,Ksh11.00,Yes,2002,,,
DIPROBASE CREAM,Ksh25.00,Yes,2006,,,
DIPROFOS INJ,Ksh300.00,Yes,2008,,,
DIPROSALIC Ointment 30Grams,Ksh800.00,Yes,2009,,,
DIPROSON 15GMS,Ksh870.00,Yes,201,,,
DIRACIP M 100mls,Ksh57.00,Yes,2010,,,
DIRACIP M DS 15's,Ksh180.00,Yes,2011,,,
DIRACIP M tab,Ksh170.00,Yes,2012,,,
DISPENSING ENVELOPES,Ksh6.00,Yes,2013,,,
DISPENSING ENVELOPES,Ksh6.00,Yes,2014,,,
DISPENSING ENVELOPES 100'S,Ksh6.00,Yes,2016,,,
DIURIDE 10 MG,Ksh25.00,Yes,2017,,,
DIURIDE 20 MG,Ksh35.00,Yes,2018,,,
DOBESIL 500MG CAPS,Ksh57.00,Yes,202,,,
DOBESIL H CREAM 30G,Ksh42.00,Yes,2020,,,
DOLA CR 100mg caps,Ksh700.00,Yes,2021,,,
DOLA GEL 1%,Ksh12.00,Yes,2022,,,
DOLAFREE TRAMADOL 100MG,Ksh26.00,Yes,2023,,,
DOLOACT GEL,Ksh5.00,Yes,2024,,,
DOLOACT MR,Ksh260.00,Yes,2026,,,
DOLOACT Plus tabs,Ksh18.00,Yes,2027,,,
DOLOMED MR,Ksh20.00,Yes,2028,,,
DOMADOL 50MG,Ksh14.00,Yes,2029,,,
DOMPERIDONE 10mg,Ksh12.00,Yes,203,,,
DOMPERIDONE 30mls DOMI,Ksh3.00,Yes,2030,,,
Domperidone syrup (deflux) 100mls,Ksh86.00,Yes,2031,,,
DOMPERON 10mg,Ksh165.00,Yes,2032,,,
DOMPERON 30ML,Ksh5.00,Yes,2033,,,
DOMSTAL SUSP 30MLS,Ksh135.00,Yes,2034,,,
DONECEPT 5mg,Ksh80.00,Yes,2035,,,
DOPAM TABS,Ksh35.00,Yes,2036,,,
