No.,Item Code,Item Description,Item Category,Brand,U.O.M,Buying Price,Selling Price,Expense Account,Income Account
220,PHA321,CARBIMAZOLE TABS 5MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
221,PHA837,CARBOCISTEINE +PROMETHAZINE [ISOCET-P] CASH ONLY],PHARMACY,,TABS,80,150,INVENTORY - PHARMACY,PHARMACY
222,PHA621,CARDIAC PANEL (10 DISCS),PHARMACY,,TABS,100,9500,INVENTORY - PHARMACY,PHARMACY
223,PHA496,CARESENS N (ISENS) BLOOD GLUCOSE TEST STRIPS,LAB ITEMS,,PKT,1200,1600,EXPENSES,LABORATORY
224,PHA497,CARESENS N PREMIER MACHINE,LAB ITEMS,,PIECES,0,2500,ACCOMODATION,PHARMACY
225,20,CARROTS (CANTEEN),CANTEEN & CATERING,,KGS,30,30,PREPAID SERVICE CONTRACTS,
226,PHA063,CARTIS FORTE TABS 500MG/250MG,PHARMACY,,TABS,28.33,40,INVENTORY - PHARMACY,PHARMACY
227,PHA351,CARVEDILOL 25MG 0,PHARMACY,,TABS,0,15,INVENTORY - PHARMACY,PHARMACY
228,PHA064,CARVEDILOL TABS 12.5MG,PHARMACY,,TABS,0,10,INVENTORY - PHARMACY,PHARMACY
229,PHA062,CARVEDILOL TABS 6.25MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
230,PHA695,CATGUT NO.1,PHARMACY,,TABS,45.83,150,INVENTORY - PHARMACY,PHARMACY
231,PHA733,CATHETER MOUNT,PHARMACY,,TABS,0,1400,INVENTORY - PHARMACY,PHARMACY
232,PHA507,CATHETERS SIZE 16,PHARMACY,,TABS,53.6,100,INVENTORY - PHARMACY,PHARMACY
233,PHA690,CATHETERS SIZE 20,PHARMACY,,TABS,40,100,INVENTORY - PHARMACY,PHARMACY
234,PHA529,CATHETERS SIZE 12,PHARMACY,,TABS,50,150,INVENTORY - PHARMACY,PHARMACY
235,PHA528,CATHETERS SIZE 14,PHARMACY,,TABS,50,100,INVENTORY - PHARMACY,PHARMACY
236,PHA555,CATHETERS SIZE 18,PHARMACY,,TABS,42,100,INVENTORY - PHARMACY,PHARMACY
237,PHA530,CATHETERS SIZE 24 3 WAY,PHARMACY,,TABS,100,250,INVENTORY - PHARMACY,PHARMACY
238,PHA561,CATHETERS SIZE 6,PHARMACY,,TABS,50,100,INVENTORY - PHARMACY,PHARMACY
239,PHA649,CATOXYMAG-N SUSPENSION,PHARMACY,,TABS,123,200,INVENTORY - PHARMACY,PHARMACY
240,PHA065,CAUSTIC PENCIL 40%,PHARMACY,,TABS,0,200,INVENTORY - PHARMACY,PHARMACY
241,PHA524,CEFADROXIL 125MG/5ML[100MLS],PHARMACY,,TABS,192,400,INVENTORY - PHARMACY,PHARMACY
242,PHA855,CEFADROXIL 250MG/5ML SUSPENSION,PHARMACY,,TABS,289,550,INVENTORY - PHARMACY,PHARMACY
243,PHA842,CEFADROXIL 500MG CAPS,PHARMACY,,TABS,0,10,INVENTORY - PHARMACY,PHARMACY
244,PHA501,CEFIXIME POWDER SUSPENSION 200MG/5ML 50/60ML 0,PHARMACY,,TABS,0,250,INVENTORY - PHARMACY,PHARMACY
245,PHA069,CEFIXIME TABS 400MG,PHARMACY,,TABS,19.1,35,INVENTORY - PHARMACY,PHARMACY
246,PHA919,CEFPODOXIME [SWICH] 200MG,PHARMACY,,TABS,50,70,INVENTORY - PHARMACY,PHARMACY
247,PHA070,CEFPODOXIME SUSPENSION 100MG/ML,PHARMACY,,TABS,0,700,INVENTORY - PHARMACY,PHARMACY
248,PHA071,CEFPODOXIME TABS 200MG,PHARMACY,,TABS,0,80,INVENTORY - PHARMACY,PHARMACY
249,PHA387,CEFTAZIDIME INJ 1G ( VIALS ),PHARMACY,,TABS,0,250,INVENTORY - PHARMACY,PHARMACY
250,PHA976,CEFTAZIDIME INJE 250MG[CASH],PHARMACY,,TABS,107,250,INVENTORY - PHARMACY,PHARMACY
251,PHA704,CEFTRIAXONE 250MG,PHARMACY,,TABS,32,40,INVENTORY - PHARMACY,PHARMACY
252,PHA072,CEFTRIAXONE INJ. 1GM,PHARMACY,,TABS,0,100,INVENTORY - PHARMACY,PHARMACY
253,PHA848,CEFTRIAXONE INJECTION 2GM,PHARMACY,,TABS,0,350,INVENTORY - PHARMACY,PHARMACY
254,PHA074,CEFUROXIME SUSPENSION 125MG/5ML,PHARMACY,,TABS,0,450,INVENTORY - PHARMACY,PHARMACY
255,PHA073,CEFUROXIME SUSPENSION 250MG/5ML,PHARMACY,,TABS,210,400,INVENTORY - PHARMACY,PHARMACY
256,PHA075,CEFUROXIME TABS 250MG,PHARMACY,,TABS,0,40,INVENTORY - PHARMACY,PHARMACY
257,PHA076,CEFUROXIME TABS 500MG,PHARMACY,,TABS,21.1,35,INVENTORY - PHARMACY,PHARMACY
258,PHA901,CEFUROZIME ORIGINAL 500MG (CASH ONLY),PHARMACY,,TABS,34.1,70,INVENTORY - PHARMACY,PHARMACY
259,PHA551,CELECOXIB CAPS 200MG [CASH ONLY],PHARMACY,,TABS,0,30,INVENTORY - PHARMACY,PHARMACY
260,PHA077,CELECOXIB TABS 100MG,PHARMACY,,TABS,0,15,INVENTORY - PHARMACY,PHARMACY
261,PHA326,CELESTAMINE TABS 0,PHARMACY,,TABS,0,30,INVENTORY - PHARMACY,PHARMACY
262,8005,CELL TAPE,STATIONARY,,PIECES,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
263,PHA067,CEPHALEXIN CAPS 250MG[CASH ONLY],PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
264,PHA066,CEPHALEXIN CAPS 500MG [CACH ONLY],PHARMACY,,TABS,0,15,INVENTORY - PHARMACY,PHARMACY
265,PHA068,CEPHALEXIN SUSPENSION 125MG/ML CAH ONLY,PHARMACY,,TABS,102,200,INVENTORY - PHARMACY,PHARMACY
266,PHA078,CEPROLEN D E/DROPS 10ML,PHARMACY,,TABS,350,450,INVENTORY - PHARMACY,PHARMACY
267,PHA548,CERVICAL COLLAR HARD,PHARMACY,,TABS,2500,2500,INVENTORY - PHARMACY,PHARMACY
268,PHA617,CERVICAL COLLAR SOFT,PHARMACY,,TABS,0,1500,INVENTORY - PHARMACY,PHARMACY
269,PHA079,CETRIZINE SYRUP 5MG/5ML(60ML),PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
270,PHA080,CETRIZINE TABS 10MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
271,8034,CF 217A,STATIONARY,,PIECES,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
272,5042,CHAI,CANTEEN & CATERING,,CUPS,0,20,PREPAID SERVICE CONTRACTS,
273,4239,CHAPATI,CANTEEN & CATERING,,PIECES,0,20,PREPAID SERVICE CONTRACTS,
274,CANTEEN164,CHAPATI STEW,CANTEEN & CATERING,,PLATE,100,100,PREPAID SERVICE CONTRACTS,
275,31,CHARCOAL (CANTEEN),CANTEEN & CATERING,,DEBES,300,300,PREPAID SERVICE CONTRACTS,
276,345009,CHEEK RETRACTOR,DENTAL,,PIECES,500,0,ADMINISTRATIVE EXPENSES,DENTAL
277,PHA821,CHEST TUBE,PHARMACY,,TABS,1300,1500,INVENTORY - PHARMACY,PHARMACY
278,21,CHICKEN (CANTEEN),CANTEEN & CATERING,,PIECES,300,0,PREPAID SERVICE CONTRACTS,
279,49,CHILLIE SOUCE,CANTEEN & CATERING,,5LTS,0,0,COS-CANTEEN,CANTEEN INCOME
280,6,CHIPS,CANTEEN & CATERING,,OTHERS,0,100,PREPAID SERVICE CONTRACTS,
281,4143,CHIPS TAKEAWAY,CANTEEN & CATERING,,OTHERS,5,100,PREPAID SERVICE CONTRACTS,
282,PHA946,CHITTLE FORCEPS,PHARMACY,,TABS,1950,0,INVENTORY - PHARMACY,PHARMACY
283,PHA581,CHLORHEXIDINE DIGLUCONATE 7.1% [HEXICORD]KLINCORD,PHARMACY,,TABS,100,200,INVENTORY - PHARMACY,PHARMACY
284,PHA081,CHLORHEXIDINE MOUTHWASH(REMIDIN) 100ML,PHARMACY,,TABS,247.38,250,INVENTORY - PHARMACY,PHARMACY
285,PHA082,CHLORHEXIDINE/CETRIMIDE OINT.(HEAL CARE CREAM) 100ML,PHARMACY,,TABS,0,300,INVENTORY - PHARMACY,PHARMACY
286,PHA744,CHLORHEXIDINE/GLUCONATE 5 % [HIBITANE],PHARMACY,,TABS,1210,0,INVENTORY - PHARMACY,PHARMACY
287,PHA083,CHLORPHENIRAMINE INJ 10MG/ML,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
288,PHA084,CHLORPHENIRAMINE SYRUP 2MG/5ML,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
289,PHA085,CHLORPHENIRAMINE TABS 4MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
290,PHA086,CHLORPROMAZINE INJ. 50MG/ML,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
291,PHA087,CHLORPROMAZINE TABS 100MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
292,PHA088,CHLORPROMAZINE TABS 25MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
293,39,CHOCLATE (KING EGG),CANTEEN & CATERING,,PKT,800,0,PREPAID SERVICE CONTRACTS,
294,PHA717,CHROMIC CAT GUT 2/0[ REVERSE CUTTING],PHARMACY,,TABS,45.83,150,INVENTORY - PHARMACY,PHARMACY
295,PHA570,CHROMIC CATGUT 2,PHARMACY,,TABS,50,150,INVENTORY - PHARMACY,PHARMACY
296,PHA571,CHROMIC CATGUT 2/0,PHARMACY,,TABS,50,150,INVENTORY - PHARMACY,PHARMACY
297,PHA578,CIDEX[GLUTERALDEHYDE SOL2.4%],PHARMACY,,TABS,1250,1300,INVENTORY - PHARMACY,PHARMACY
298,PHA878,CINNARIZINE 25MG [CASH ONLY],PHARMACY,,TABS,13,20,INVENTORY - PHARMACY,PHARMACY
299,PHA486,CIPROCENT OINTMENT 0,PHARMACY,,TABS,0,300,INVENTORY - PHARMACY,PHARMACY
300,PHA089,CIPROFLOXACIN E/DROPS 0.30%,PHARMACY,,TABS,0,100,INVENTORY - PHARMACY,PHARMACY
301,PHA091,CIPROFLOXACIN TABS 250MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
302,PHA090,CIPROFLOXACIN TABS 500MG,PHARMACY,,TABS,0,10,INVENTORY - PHARMACY,PHARMACY
303,PHA559,CITAL[DISODIUM HYROGEN CITRATE],PHARMACY,,TABS,213,300,INVENTORY - PHARMACY,PHARMACY
304,PHA093,CLARITHROMYCIN SUSPENSION 125MG/5ML [CASH ONLY],PHARMACY,,TABS,235,500,INVENTORY - PHARMACY,PHARMACY
305,PHA094,CLARITHROMYCIN TABS 500MG[ CASH],PHARMACY,,TABS,0,35,INVENTORY - PHARMACY,PHARMACY
306,LAB051,CLEANING KIT - MEDONIC,LAB ITEMS,,ML,20000,0,COS-LABORATORY,LABORATORY
307,PHA509,CLEANING SOLUTION HUMALYTE PLUS 3,LAB ITEMS,,TUBES,0,6890,ACCOMODATION,LABORATORY
308,PHA095,CLINDAMYCIN CAPS 150MG,PHARMACY,,TABS,0,15,INVENTORY - PHARMACY,PHARMACY
309,PHA933,CLINDAMYCIN INJECTION 300MG,PHARMACY,,TABS,108.4,250,INVENTORY - PHARMACY,PHARMACY
310,CANTEEN036,CLING FILM 300M,CANTEEN & CATERING,,MTS,150,200,PREPAID SERVICE CONTRACTS,
311,PHA330,CLOMIPHENE TABS 50MG 0,PHARMACY,,TABS,0,15,INVENTORY - PHARMACY,PHARMACY
312,PHA347,CLOPIDOGREL 75MG [FOR INPATIENTS ONLY],PHARMACY,,TABS,0,15,INVENTORY - PHARMACY,PHARMACY
313,PHA096,CLOTRIMAZOLE CREAM 15G,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
314,PHA097,CLOTRIMAZOLE EAR DROPS 15ML,PHARMACY,,TABS,0,200,INVENTORY - PHARMACY,PHARMACY
315,PHA417,CLOTRIMAZOLE PESSAIES [CANDID V-1]500MG 0 [CASH ONLY],PHARMACY,,TABS,0,200,INVENTORY - PHARMACY,PHARMACY
316,PHA098,CLOTRIMAZOLE PESSARY 200MG,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
317,PHA395,CLOTRIMAZOLE POWDER 0,PHARMACY,,TABS,0,300,INVENTORY - PHARMACY,PHARMACY
318,PHA099,CLOTRINE BETAMETHASONE CREAM 15G CLOB B [CASH ONLY],PHARMACY,,TABS,0,150,INVENTORY - PHARMACY,PHARMACY
319,PHA100,CLOXACILLIN CAPS 250MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
320,PHA405,CO-TRIMOXAZOLE 240MG 0,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
321,PHA102,CO-TRIMOXAZOLE SUSPENSION 240MG/5ML[SEPTRINE],PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
322,PHA841,CO-TRIMOXAZOLE SYRUP 50MLS,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
323,PHA103,CO-TRIMOXAZOLE TABS 480MG[SEPTRINE],PHARMACY,,TABS,0,10,INVENTORY - PHARMACY,PHARMACY
324,PHA104,CO-TRIMOXAZOLE TABS 960MG(SEPTRIN),PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
325,CANTEEN087,COFFEE SACHET,CANTEEN & CATERING,,DOZEN,55,120,PREPAID SERVICE CONTRACTS,
326,PHA852,COLD CAP CAPSULES [CASH ONLY],PHARMACY,,TABS,2.88,5,INVENTORY - PHARMACY,PHARMACY
327,345025,COLD CURE LIQUID,DENTAL,,PKT,1500,0,COS-DENTAL,DENTAL
328,345026,COLD CURE POWDER,DENTAL,,PKT,1,1500,COS-DENTAL,DENTAL
329,5089,COLGATE TOOTHPASTE 15GRAMS,CANTEEN & CATERING,,DOZEN,320,600,PREPAID SERVICE CONTRACTS,
330,5090,COLGATE TOOTHPASTE 35GRAMS,CANTEEN & CATERING,,DOZEN,53.33,53.33,PREPAID SERVICE CONTRACTS,
331,PHA868,COLICALM 30ML,PHARMACY,,TABS,130,180,INVENTORY - PHARMACY,PHARMACY
332,PHA934,COLOPREP,PHARMACY,,TABS,9.49,1500,INVENTORY - PHARMACY,PHARMACY
333,PHA482,COLOSTOMY BAG 0,PHARMACY,,TABS,0,400,INVENTORY - PHARMACY,PHARMACY
334,PHA702,COMBIVENT[SALBUTAMOL/IPRAATROPIUM [CASH],PHARMACY,,TABS,133.8,200,INVENTORY - PHARMACY,PHARMACY
335,PHA647,COMPRESSION STOCKING,PHARMACY,,TABS,2000,2500,INVENTORY - PHARMACY,PHARMACY
336,PHA538,CONDOM CATHETERS,PHARMACY,,TABS,40,100,INVENTORY - PHARMACY,PHARMACY
337,5097,CONFIDENCE ADULT DIAPERS (MEDIUM),CANTEEN & CATERING,,BALE,2250,2250,PREPAID SERVICE CONTRACTS,
338,5045,CONFIDENCE ADULT DIAPERS (LARGE),CANTEEN & CATERING,,BALE,2250,2250,PREPAID SERVICE CONTRACTS,
339,1,CONFIDENCE ADULT DIAPERS XL,CANTEEN & CATERING,,BALE,2100,2100,PREPAID SERVICE CONTRACTS,
340,PHA782,CONTURED GEL CUSHION,PHARMACY,,TABS,5500,6500,INVENTORY - PHARMACY,PHARMACY
341,KITCHEN016,COOKING STAT VEGETABLE FAT,KITCHEN ITEMS,,KGS,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
342,PHA914,COOL BOX,PHARMACY,,TABS,0,0,INVENTORY - PHARMACY,PHARMACY
343,PHA537,COTTON ROLL,PHARMACY,,TABS,250,335,INVENTORY - PHARMACY,PHARMACY
344,PHA800,COTTON ROLLS 500PCS,PHARMACY,,TABS,700,900,INVENTORY - PHARMACY,PHARMACY
345,8022,COUNTER BOOK 1 QUIRE,STATIONARY,,PIECES,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
346,8023,COUNTER BOOK 2 QUIRE,STATIONARY,,PIECES,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
347,8024,COUNTER BOOK 3 QUIRE,STATIONARY,,PIECES,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
348,8025,COUNTER BOOK 4 QUIRE,STATIONARY,,PIECES,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
349,8026,COUNTER BOOK 5 QUIRE,STATIONARY,,PIECES,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
350,8027,COUNTER BOOK 6 QUIRE,STATIONARY,,PIECES,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
351,LAB032,COVER GLASS,LAB ITEMS,,PKT,60,0,INVENTORY - LABORATORY,LABORATORY
352,PHA597,COVERSLIPS 10S,PHARMACY,,TABS,0,1000,INVENTORY - PHARMACY,PHARMACY
353,LAB013,COVID 19 ANTIGEN KIT,LAB ITEMS,,PKT,10000,0,INVENTORY - LABORATORY,LABORATORY
354,LAB017,CREATININE,LAB ITEMS,,ML,12500,0,INVENTORY - LABORATORY,LABORATORY
355,PHA1011,CREPE BANDAGES 8,PHARMACY,,PIECES,90,200,INVENTORY - PHARMACY,PHARMACY
356,PHA512,"CREPE BANDAGES 3"" INCH",PHARMACY,,TABS,0,80,INVENTORY - PHARMACY,PHARMACY
357,PHA527,CREPE BANDAGES 4,PHARMACY,,TABS,50,100,INVENTORY - PHARMACY,PHARMACY
358,PHA1012,CREPE BANDAGES 6,PHARMACY,,PIECES,60,150,INVENTORY - PHARMACY,PHARMACY
359,PHA526,"CREPE BANDAGES 6"" INCH",PHARMACY,,TABS,60,150,INVENTORY - PHARMACY,PHARMACY
360,CANTEEN148,CROCS SIZE 35,CANTEEN & CATERING,,PAIRS,170,250,PREPAID SERVICE CONTRACTS,
361,3,CROCS SIZE 36,CANTEEN & CATERING,,PIECES,170,170,PREPAID SERVICE CONTRACTS,
362,CANTEEN150,CROCS SIZE 37,CANTEEN & CATERING,,PAIRS,170,170,PREPAID SERVICE CONTRACTS,
363,CANTEEN152,CROCS SIZE 38,CANTEEN & CATERING,,PAIRS,170,250,PREPAID SERVICE CONTRACTS,
364,CANTEEN154,CROCS SIZE 39,CANTEEN & CATERING,,PAIRS,170,170,PREPAID SERVICE CONTRACTS,
365,CANTEEN155,CROCS SIZE 40,CANTEEN & CATERING,,PAIRS,170,170,PREPAID SERVICE CONTRACTS,
366,CANTEEN156,CROCS SIZE 41,CANTEEN & CATERING,,PAIRS,170,170,PREPAID SERVICE CONTRACTS,
367,CANTEEN157,CROCS SIZE 42,CANTEEN & CATERING,,PAIRS,170,170,PREPAID SERVICE CONTRACTS,
368,CANTEEN158,CROCS SIZE 43,CANTEEN & CATERING,,PAIRS,170,250,PREPAID SERVICE CONTRACTS,
369,CANTEEN159,CROCS SIZE 44,CANTEEN & CATERING,,PAIRS,170,250,PREPAID SERVICE CONTRACTS,
370,CANTEEN160,CROCS SIZE 45,CANTEEN & CATERING,,PAIRS,170,250,PREPAID SERVICE CONTRACTS,
371,345008,CROWN REMOVER,DENTAL,,PIECES,4500,0,ADMINISTRATIVE EXPENSES,DENTAL
372,LAB014,CRP,LAB ITEMS,,BOX,7500,0,INVENTORY - LABORATORY,LABORATORY
373,PHA972,CS SET,PHARMACY,,TABS,58400,0,INVENTORY - PHARMACY,PHARMACY
374,PHA988,CUFFS FOR BP MACHINE,PHARMACY,,TABS,2750,0,INVENTORY - PHARMACY,PHARMACY
375,PHA105,CYCLOPAM SUSPENSION 10/40MG,PHARMACY,,TABS,0,200,INVENTORY - PHARMACY,PHARMACY
376,PHA106,CYPROHEPTADINE 100ML,PHARMACY,,TABS,0,250,INVENTORY - PHARMACY,PHARMACY
377,PHA107,DACOF DRY COUGH 100ML,PHARMACY,,TABS,0,100,INVENTORY - PHARMACY,PHARMACY
378,PHA108,DACOF EXPECTORANT 100ML,PHARMACY,,TABS,0,100,INVENTORY - PHARMACY,PHARMACY
379,PHA109,DACOF MUCOLYTIC 100ML,PHARMACY,,TABS,0,150,INVENTORY - PHARMACY,PHARMACY
380,PHA584,DARROWS 500MLS[HALF STRENGTH],PHARMACY,,TABS,60,150,INVENTORY - PHARMACY,PHARMACY
381,CANTEEN169,DDDDDDDDDDD,CANTEEN & CATERING,,PKT,300,10,PREPAID SERVICE CONTRACTS,
382,PHA433,DECOMIT(BECLOMETHASONE) 0,PHARMACY,,TABS,0,600,INVENTORY - PHARMACY,PHARMACY
383,PHA026,DEFLAZACORT SUSPENSION 50ML,PHARMACY,,TABS,0,200,INVENTORY - PHARMACY,PHARMACY
384,5079,DELIGHT 250 ML YOGHURT,CANTEEN & CATERING,,LTS,50,65,PREPAID SERVICE CONTRACTS,
385,CANTEEN083,DELMONTE 250ML,CANTEEN & CATERING,,ML,30,60,PHYSIOTHERPHY EQUIPMENT,PHYSIOTHERPHY EQUIPMENT
386,345010,DENTAL FACE SHIELD,DENTAL,,PKT,2500,0,ADMINISTRATIVE EXPENSES,DENTAL
387,PHA550,DENTAL CARTRIDGE 50 PIECES,PHARMACY,,TABS,0,2000,INVENTORY - PHARMACY,PHARMACY
388,345013,DENTAL NEEDLES LONG,DENTAL,,PKT,600,0,COS-DENTAL,DENTAL
389,PHA457,DERMIGUARD[BECLOMETHASONE/CLOTRIMAZOLE/GENTAMYCIN] 0,PHARMACY,,TABS,0,150,INVENTORY - PHARMACY,PHARMACY
390,PHA479,DERMOL EMOLLIENT CREAM 50GM 0,PHARMACY,,TABS,0,250,INVENTORY - PHARMACY,PHARMACY
391,PHA110,DESLORATIDINE SUSPENSION 0.5MG/ML,PHARMACY,,TABS,0,450,INVENTORY - PHARMACY,PHARMACY
392,PHA341,DESLORATIDINE SYRUP 60MLS 0[CASH],PHARMACY,,TABS,0,250,INVENTORY - PHARMACY,PHARMACY
393,PHA111,DESLORATIDINE TABS 5MG[ CASH],PHARMACY,,TABS,0,15,INVENTORY - PHARMACY,PHARMACY
394,33,DETERGENT (CANTEEN),CANTEEN & CATERING,,1LTR,70,70,PREPAID SERVICE CONTRACTS,
395,5091,DETREX SOAP 100GRAMS,CANTEEN & CATERING,,PIECES,25,35,PREPAID SERVICE CONTRACTS,
396,PHA112,DEXAMETHASONE E/DROPS DROPS 0.3/0.1%,PHARMACY,,TABS,0,100,INVENTORY - PHARMACY,PHARMACY
397,PHA113,DEXAMETHASONE INJ. 4MG/ML,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
398,PHA401,DEXAMETHASONE TABS 0.5MG 0,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
399,PHA375,DEXAPOS DROPS 0,PHARMACY,,TABS,0,500,INVENTORY - PHARMACY,PHARMACY
400,PHA114,DEXOMET-N DROPS 5ML,PHARMACY,,TABS,0,100,INVENTORY - PHARMACY,PHARMACY
401,PHA115,DEXTROSE 10% 500ML,PHARMACY,,TABS,0,150,INVENTORY - PHARMACY,PHARMACY
402,PHA116,DEXTROSE 5% 500ML,PHARMACY,,TABS,105,150,INVENTORY - PHARMACY,PHARMACY
403,PHA117,DEXTROSE 50% 100ML,PHARMACY,,TABS,0,150,INVENTORY - PHARMACY,PHARMACY
404,PHA118,DEXTROSE IN NORMAL SALINE(DNS) 500ML,PHARMACY,,TABS,80,120,INVENTORY - PHARMACY,PHARMACY
405,PHA478,DIAMICRON MR 30MG 0,PHARMACY,,TABS,0,35,INVENTORY - PHARMACY,PHARMACY
406,PHA365,DIAMICRON MR TABS 60MG 0,PHARMACY,,TABS,0,55,INVENTORY - PHARMACY,PHARMACY
407,PHA804,DIAMOND BURS BR 40,PHARMACY,,TABS,100,100,INVENTORY - PHARMACY,PHARMACY
408,PHA803,DIAMOND BURS SF 12,PHARMACY,,TABS,100,100,INVENTORY - PHARMACY,PHARMACY
409,PHA805,DIAMOND BURS TF 11,PHARMACY,,TABS,100,100,INVENTORY - PHARMACY,PHARMACY
410,LAB033,DIASPECT CUVETTE,LAB ITEMS,,PKT,4800,0,INVENTORY - LABORATORY,LABORATORY
411,PHA857,DIATHERMY PENCILS,PHARMACY,,TABS,400,600,INVENTORY - PHARMACY,PHARMACY
412,PHA119,DIAZEPAM INJ 5MG/ML,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
413,PHA120,DIAZEPAM TABS 5MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
414,PHA121,DICLOFENAC GEL 15G,PHARMACY,,TABS,0,50,INVENTORY - PHARMACY,PHARMACY
415,PHA122,DICLOFENAC INJ 75MG,PHARMACY,,TABS,0,120,INVENTORY - PHARMACY,PHARMACY
416,PHA827,DICLOFENAC SUPP 100MG,PHARMACY,,TABS,27.83,80,INVENTORY - PHARMACY,PHARMACY
417,PHA123,DICLOFENAC TABS 100MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
418,PHA124,DICLOFENAC TABS 50MG,PHARMACY,,TABS,0,5,INVENTORY - PHARMACY,PHARMACY
419,PHA489,DICORTINEFF DROPS 0,PHARMACY,,TABS,0,400,INVENTORY - PHARMACY,PHARMACY
420,PHA1016,DIGITAL THERMOMETER,PHARMACY,,PIECES,170,230,INVENTORY - PHARMACY,PHARMACY
421,PHA954,DIGITAL WEIGHING SCALE [INFANT],PHARMACY,,TABS,12500,0,INVENTORY - PHARMACY,PHARMACY
422,PHA125,DIGOXIN TABS 125MCG,PHARMACY,,TABS,0,10,INVENTORY - PHARMACY,PHARMACY
423,PHA126,DIHYDROCODEINE(DHC) TABS 30MG[CASH],PHARMACY,,TABS,0,20,INVENTORY - PHARMACY,PHARMACY
424,PHA127,DIPROFOS INJ. 2.5MG,PHARMACY,,TABS,0,850,INVENTORY - PHARMACY,PHARMACY
425,LAB040,DIRECT BILIRUBIN,LAB ITEMS,,ML,5200,0,COS-LABORATORY,LABORATORY
426,100001,DISPENSER BATTERY,BIOMEDICAL,,PAIRS,0,0,COS- NON PHARM,NON-PHARM
427,PHA1009,DISPOSABLE CUPS,PHARMACY,,PIECES,2,5,INVENTORY - PHARMACY,PHARMACY
428,PHA866,DISPOSABLE DIATHERMY PENCILS,PHARMACY,,TABS,0,20000,INVENTORY - PHARMACY,PHARMACY
429,LAB016,DISTILLED WATER,LAB ITEMS,,20 LTS,900,0,LABORATORY EQUIPMENT,LABORATORY
430,8013,DL MANILLA ENVELOPE (BROWN),STATIONARY,,PKT,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
431,8012,DL MANILLA ENVELOPE (WHITE),STATIONARY,,PKT,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
432,PHA128,DOBESIL CAPS 500MG,PHARMACY,,TABS,0,55,INVENTORY - PHARMACY,PHARMACY
433,PHA129,DOBESIL H CREAM 30G,PHARMACY,,TABS,0,700,INVENTORY - PHARMACY,PHARMACY
434,47,DOLA WHEAT BROWN 2KG,CANTEEN & CATERING,,PKT,0,0,COS-CANTEEN,CANTEEN INCOME
435,KITCHEN020,DOLA WHEAT FLOOR (BROWN),KITCHEN ITEMS,,PKT,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
436,KITCHEN021,DOLA WHEAT FLOOR (WHITE),KITCHEN ITEMS,,PKT,0,0,ADMINISTRATIVE EXPENSES,NON-OPERATING REVENUE
437,PHA130,DOLOACT MR TABS,PHARMACY,,TABS,0,35,INVENTORY - PHARMACY,PHARMACY
